SIP,DIP,Prot,SPort,DPort,SBytes,SBytes_av,DBytes,DBytes_av,SBytes_std,DBytes_std,SBytes_max,DBytes_max,Start,Curr,Inter_av,Inter_std,Inter_max,NIdle,tIdle,tIdle_av,tIdle_std,NSPack,NDPack,SYN1,SYN2,FIN_init,FIN1,FIN2,T_Ind,T_Counter,T_Packets_max,T_Bytes_max,T_Dur_max,B_Counter,B_Packets,B_Packets_max,B_Bytes,B_Bytes_max,B_Dur,B_Dur_max,B_Ind,B_IndP,1B_Packets,1B_Bytes,1B_Dur,1B_Ind,Perc_B
131.243.142.113,60.191.236.58,TCP,2194,80,406,58.0,4683,669.0,20184.0,479097.4285714285,406,1460,16.407387,0.31267000000000067,0.022333571428571477,0.001173706528387757,0.077179000000001,0,0,0,0,7,7,True,True,2,True,True,True,1,14,5392,0.31267000000000067,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.198,131.243.26.9,TCP,4242,389,62,31.0,0,0.0,961.0,0.0,62,0,18.689365,0.0008630000000025007,0.00021575000000062516,2.6981187500341302e-08,0.00038200000000188084,0,0,0,0,2,2,False,False,1,True,True,True,1,3,0,0.0004810000000006198,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.198,131.243.26.9,TCP,4243,389,62,31.0,0,0.0,961.0,0.0,62,0,18.689983,0.0004879999999971574,0.00012199999999928934,7.033500000109077e-09,0.00023700000000204113,0,0,0,0,2,2,False,False,1,True,True,True,1,3,0,0.0003619999999990853,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.92,131.243.160.21,TCP,4228,40000,32,6.4,756,151.2,163.84,91445.76000000001,32,756,19.416791,0.005870999999999071,0.0005870999999999071,3.1255329000029784e-07,0.0017490000000002226,0,0,0,0,5,5,True,True,1,True,True,True,1,10,788,0.005870999999999071,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.131,128.3.164.248,TCP,1412,25,74996,1171.8125,524,22.782608695652176,221872.96484375,1977.8223062381853,1380,195,19.211171,0.5830020000000005,0.006701172413793109,0.0011438061236369423,0.2978190000000005,0,0,0,0,64,23,True,True,2,True,True,True,8,30,24103,0.4159959999999998,7,40,6,54428,8192,0.04563900000000487,0.0422249999999984,1.0,1.0,6,8192,0.0005450000000024602,1,0.45977011494252873
131.243.142.113,118.130.113.79,TCP,2189,80,402,67.0,2528,421.3333333333333,22445.0,367848.8888888889,402,1460,0.795305,19.216111,1.6013425833333335,19.838859723470566,16.166525999999998,1,16.166525999999998,16.166525999999998,0,6,6,True,True,2,True,True,True,1,12,2930,19.216110999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.113,218.112.45.60,TCP,2186,80,389,19.45,45195,1291.2857142857142,7187.7475,195101.00408163294,389,1460,0.6692,19.346977,0.35176321818181816,4.103735739191625,14.78474,1,14.78474,14.78474,0,20,35,True,True,2,True,True,True,1,55,61579,19.346977,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.77,150.110.114.133,TCP,1727,80,408,68.0,1981,330.1666666666667,23120.0,291496.8055555555,408,1460,20.155348,0.032710999999999046,0.002725916666666587,8.847445743055353e-06,0.008862999999998067,0,0,0,0,6,6,True,True,2,True,True,True,2,5,408,0.011355999999999256,1,4,4,1981,1981,0.008987999999998664,0.008987999999998664,2.0,2.0,4,1981,0.008987999999998664,2,0.3333333333333333
131.243.141.154,131.243.160.98,TCP,1374,7777,436,62.285714285714285,284,56.8,22298.775510204083,12904.960000000001,428,284,10.196907,10.012276,0.8343563333333334,7.388584953733224,9.848507,1,9.848507,9.848507,96.993090129049,7,5,True,True,1,True,True,True,1,12,720,10.012276,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128.3.19.219,131.243.141.125,TCP,2353,80,9348,667.7142857142857,4810,343.57142857142856,350035.48979591846,243791.67346938775,1460,1460,15.177233,5.213078000000001,0.1861813571428572,0.6529823038966575,4.355100999999998,1,4.355100999999998,4.355100999999998,18.96690472020098,14,14,False,False,1,True,True,True,2,13,6161,0.5607840000000017,2,9,5,7605,3838,4.361364000000002,4.355225000000001,1.5,1.5555555555555556,4,3838,4.355225000000001,1,0.32142857142857145
131.243.92.99,131.243.140.156,TCP,1253,389,2667,242.45454545454547,5726,572.6,153661.15702479339,371270.24,1290,1460,20.594436,0.08557299999999657,0.004074904761904598,0.000102159697800454,0.04659799999999947,0,0,0,0,11,10,True,True,1,True,True,True,1,21,13255,0.08557299999999657,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.92.99,131.243.140.156,TCP,1254,389,1690,211.25,662,110.33333333333333,171110.1875,15275.222222222224,1290,332,20.613675,0.0673339999999989,0.00480957142857135,0.00019197796853059326,0.05470399999999742,0,0,0,0,8,6,True,True,1,True,True,True,1,14,3414,0.0673339999999989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.103,56.23.184.252,TCP,2160,80,647,107.83333333333333,553,138.25,58140.13888888889,57339.1875,647,553,21.388966,0.021979000000001747,0.002197900000000175,8.59958668999995e-06,0.008606000000000336,0,0,0,0,6,4,True,True,2,True,True,True,1,10,1200,0.021979000000001747,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.103,56.23.184.252,TCP,2161,80,635,79.375,10014,1112.6666666666667,44102.734375,357763.5555555555,635,1460,21.406205,0.13003399999999843,0.00764905882352932,0.0005433885404082869,0.1004259999999988,0,0,0,0,8,9,True,True,2,True,True,True,1,17,14823,0.13003399999999843,0,0,0,0,0,0,0,0,0,0,0,0,1,0
