Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-11 13:31:46.226,  116.958,TCP  ,    88.221.88.59,    88.221.88.59:80   ,   192.168.1.100,   192.168.1.100:59636,      18,    1492,    1
2018-05-11 13:31:46.219,  116.966,TCP  ,   192.168.1.100,   192.168.1.100:59636,    88.221.88.59,    88.221.88.59:80   ,      19,    1356,    1
2018-05-11 13:31:49.562,  115.631,TCP  ,   172.217.23.46,   172.217.23.46:80   ,   192.168.1.100,   192.168.1.100:42076,      16,    1350,    1
2018-05-11 13:31:49.546,  115.648,TCP  ,   192.168.1.100,   192.168.1.100:42076,   172.217.23.46,   172.217.23.46:80   ,      17,    1127,    1
2018-05-11 13:34:03.036,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:52856,       2,     438,    1
2018-05-11 13:34:02.742,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35622,       2,     466,    1
2018-05-11 13:34:03.054,    0.049,TCP  ,      31.13.90.6,      31.13.90.6:443  ,   192.168.1.100,   192.168.1.100:37906,      11,    4066,    1
2018-05-11 13:34:04.109,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:49742,       2,     418,    1
2018-05-11 13:34:03.121,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57766,        10.0.2.3,        10.0.2.3:53   ,       2,     116,    1
2018-05-11 13:34:03.022,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52856,        10.0.2.3,        10.0.2.3:53   ,       2,     148,    1
2018-05-11 13:34:04.108,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:49742,        10.0.2.3,        10.0.2.3:53   ,       2,     110,    1
2018-05-11 13:34:02.727,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35622,        10.0.2.3,        10.0.2.3:53   ,       2,     130,    1
