Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-10 13:46:05.129,    0.021,TCP  ,   192.168.1.100,   192.168.1.100:53264,   216.58.210.33,   216.58.210.33:443  ,       3,     330,    1
2018-05-10 13:46:08.484,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:53025,       2,     898,    1
2018-05-10 13:46:08.482,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:53025,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:46:08.806,    0.024,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58602,       2,     546,    1
2018-05-10 13:46:05.127,    0.032,TCP  ,   216.58.210.33,   216.58.210.33:443  ,   192.168.1.100,   192.168.1.100:53256,       4,    3592,    1
2018-05-10 13:46:08.746,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:46963,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-10 13:46:08.796,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:52032,       2,     768,    1
2018-05-10 13:46:08.877,    0.056,TCP  ,   192.168.1.100,   192.168.1.100:34254,    216.58.214.1,    216.58.214.1:443  ,       4,     382,    1
2018-05-10 13:46:05.104,    0.060,TCP  ,   192.168.1.100,   192.168.1.100:53258,   216.58.210.33,   216.58.210.33:443  ,       7,     583,    1
2018-05-10 13:46:05.126,    0.037,TCP  ,   216.58.210.33,   216.58.210.33:443  ,   192.168.1.100,   192.168.1.100:53260,       5,    3631,    1
2018-05-10 13:46:08.877,    0.059,TCP  ,   192.168.1.100,   192.168.1.100:48534,  216.58.198.162,  216.58.198.162:443  ,       4,     382,    1
2018-05-10 13:46:14.617,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:48331,       2,     898,    1
2018-05-10 13:46:14.616,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:48331,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:46:09.832,    2.196,TCP  ,   192.168.1.100,   192.168.1.100:60864,   216.58.206.86,   216.58.206.86:443  ,      49,    4275,    1
2018-05-10 13:46:04.827,    9.800,TCP  ,   216.58.206.34,   216.58.206.34:443  ,   192.168.1.100,   192.168.1.100:42166,      30,    8175,    1
2018-05-10 13:46:10.914,    0.040,TCP  ,   192.168.1.100,   192.168.1.100:42168,    216.58.214.3,    216.58.214.3:443  ,       9,     526,    1
2018-05-10 13:46:12.820,    0.054,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34642,      58,  129940,    1
2018-05-10 13:45:31.119,   40.885,TCP  ,   192.168.1.100,   192.168.1.100:52520,    216.58.214.4,    216.58.214.4:80   ,       8,     681,    1
2018-05-10 13:46:05.851,    5.438,TCP  , 173.194.129.198, 173.194.129.198:443  ,   192.168.1.100,   192.168.1.100:45544,       8,    5279,    1
2018-05-10 13:45:31.026,   40.978,TCP  ,   192.168.1.100,   192.168.1.100:50986,   216.58.210.46,   216.58.210.46:80   ,       8,     650,    1
2018-05-10 13:46:05.832,    5.457,TCP  ,   192.168.1.100,   192.168.1.100:45544, 173.194.129.198, 173.194.129.198:443  ,       9,     713,    1
2018-05-10 13:46:10.252,    0.026,TCP  ,   192.168.1.100,   192.168.1.100:34428,   216.58.214.14,   216.58.214.14:80   ,       2,      80,    1
2018-05-10 13:46:10.914,    0.041,TCP  ,    216.58.214.3,    216.58.214.3:443  ,   192.168.1.100,   192.168.1.100:42168,       9,   12748,    1
2018-05-10 13:46:14.639,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:38737,        10.0.2.3,        10.0.2.3:53   ,       2,     158,    1
2018-05-10 13:46:09.886,    2.141,TCP  ,   216.58.206.86,   216.58.206.86:443  ,   192.168.1.100,   192.168.1.100:60864,      68,   96490,    1
2018-05-10 13:46:04.837,    9.789,TCP  ,   192.168.1.100,   192.168.1.100:42166,   216.58.206.34,   216.58.206.34:443  ,      20,    3967,    1
2018-05-10 13:46:14.618,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:36292,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:45:31.147,   40.857,TCP  ,    216.58.214.4,    216.58.214.4:80   ,   192.168.1.100,   192.168.1.100:52520,       7,    1177,    1
2018-05-10 13:46:14.619,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:36292,       2,     898,    1
2018-05-10 13:45:31.053,   40.951,TCP  ,   216.58.210.46,   216.58.210.46:80   ,   192.168.1.100,   192.168.1.100:50986,       7,     992,    1
2018-05-10 13:46:12.821,    0.053,TCP  ,   192.168.1.100,   192.168.1.100:34642,   216.58.210.46,   216.58.210.46:443  ,      42,    1680,    1
